Report Number,Local Case Number,ACRS Report Type,Related Non-Motorist,Driver Substance Abuse,Non-Motorist Substance Abuse,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Speed Limit,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,Pedestrian Obeyed Traffic Signal,Pedestrian Visibility,Pedestrian At Fault
EJ7893000W,220020145,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,40,BICYCLIST,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,UNKNOWN,MIXED CLOTHING,No
MCP3305001N,220019612,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,30,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP32790016,220019768,Injury Crash,PEDESTRIAN,NONE DETECTED,No Information,Yes,NO APPARENT INJURY,No Information,INATTENTIVE OR LOST IN THOUGHT,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No
MCP2968004F,220027586,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Other Working,NO IMPROPER ACTIONS,OTHER,No Information,REFLECTIVE MATERIAL,No
MCP2968004F,220027586,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Other Working,NO IMPROPER ACTIONS,OTHER,No Information,REFLECTIVE MATERIAL,No
MCP2968004F,220027586,Injury Crash,PEDESTRIAN,No Information,No Information,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,PEDESTRIAN,Other Working,NO IMPROPER ACTIONS,OTHER,No Information,REFLECTIVE MATERIAL,No
MCP2968004F,220027586,Injury Crash,PEDESTRIAN,No Information,No Information,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,PEDESTRIAN,Other Working,NO IMPROPER ACTIONS,OTHER,No Information,REFLECTIVE MATERIAL,No
MCP1301001S,220014595,Fatal Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,No Information,MIXED CLOTHING,No
MCP1301001S,220014595,Fatal Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,No Information,MIXED CLOTHING,No
MCP1301001S,220014595,Fatal Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,No Information,MIXED CLOTHING,No
MCP31690059,220027392,Injury Crash,PEDESTRIAN,No Information,No Information,No,POSSIBLE INJURY,No Information,NOT DISTRACTED,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP31690059,220027392,Injury Crash,PEDESTRIAN,ALCOHOL PRESENT,No Information,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP31690059,220027392,Injury Crash,PEDESTRIAN,No Information,No Information,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP14330044,220027715,Injury Crash,OTHER,NONE DETECTED,NONE DETECTED,Yes,SUSPECTED MINOR INJURY,No Information,UNKNOWN,15,OTHER,No Information,NO IMPROPER ACTIONS,INSIDE BUILDING,No Information,MIXED CLOTHING,No
HA2483000W,22001096,Property Damage Crash,OTHER,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,INATTENTIVE OR LOST IN THOUGHT,15,OTHER,No Information,No Information,No Information,No Information,No Information,Unknown
HA2483000W,22001096,Property Damage Crash,OTHER,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,15,OTHER,No Information,No Information,No Information,No Information,No Information,Unknown
MCP2899005Q,220027447,Injury Crash,PEDESTRIAN,UNKNOWN,UNKNOWN,Unknown,NO APPARENT INJURY,No Information,UNKNOWN,35,PEDESTRIAN,Cross/Enter not at Intersection,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP29770090,220027756,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Getting off/on Vehicle,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,OTHER,DARK CLOTHING,Yes
DD55270043,220027984,Property Damage Crash,OTHER CONVEYANCE,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,5,OTHER CONVEYANCE,Other,No Information,OTHER,OTHER,MIXED CLOTHING,No
MCP2875005Y,220027515,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,0,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,No Information,LIGHT CLOTHING,No
MCP23480065,220002096,Fatal Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,No,NO APPARENT INJURY,No Information,UNKNOWN,40,PEDESTRIAN,Cross/Enter at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,DARK CLOTHING,Yes
MCP295400BV,220026993,Injury Crash,PEDESTRIAN,NONE DETECTED,ALCOHOL PRESENT,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,30,PEDESTRIAN,Cross/Enter not at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP271700X4,220024969,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,0,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP2016006D,220034152,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,40,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
MCP1564006N,220033650,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"N/A, ROAD UNDER CONSTRUCTION/MAINTENANCE",UNKNOWN,30,PEDESTRIAN,Other Working,NO IMPROPER ACTIONS,OTHER,OTHER,REFLECTIVE MATERIAL,No
MCP2522001K,220020960,Property Damage Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,30,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,No Information,DARK CLOTHING,No
MCP3006007D,220021952,Property Damage Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,BICYCLIST,Walking/Riding against Traffic,NO IMPROPER ACTIONS,SIDEWALK,No Information,MIXED CLOTHING,No
DM8479001C,220021661,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Unknown,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,5,PEDESTRIAN,Other,OTHER,OTHER,NO PED. SIGNAL,MIXED CLOTHING,Unknown
MCP3126003B,220022002,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,30,BICYCLIST,Walking/Riding w/Traffic,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,No Information,Yes
MCP2753005F,220021523,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,45,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP27980050,220021583,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,OTHER,MIXED CLOTHING,Yes
DM8499000V,220010088,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,PEDESTRIAN,Walking to/from school,UNKNOWN,ON ROADWAY AT CROSSWALK,UNKNOWN,UNKNOWN,No
MCP3091003M,220021345,Injury Crash,OTHER,No Information,No Information,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,OTHER,Cross/Enter at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,UNKNOWN,Yes
MCP3019004S,220019736,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,OTHER DISTRACTION,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP3320000V,220021711,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,No Information,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP2745002P,220033719,Injury Crash,BICYCLIST,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,30,BICYCLIST,Unknown,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,UNKNOWN,MIXED CLOTHING,No
MCP1301001V,220026609,Injury Crash,PEDESTRIAN,NONE DETECTED,UNKNOWN,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,40,PEDESTRIAN,Cross/Enter not at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes
DD561500CL,220023561,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,20,PEDESTRIAN,Walking to/from school,DART DASH,OTHER,No Information,DARK CLOTHING,No
DD561500CL,220023561,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,20,PEDESTRIAN,Walking to/from school,DART DASH,OTHER,No Information,LIGHT CLOTHING,No
MCP31390036,220023142,Injury Crash,OTHER,NONE DETECTED,No Information,Yes,POSSIBLE INJURY,No Information,NOT DISTRACTED,25,OTHER,No Information,NO IMPROPER ACTIONS,INSIDE BUILDING,No Information,No Information,No
MCP31390036,220023142,Injury Crash,OTHER,NONE DETECTED,No Information,Yes,POSSIBLE INJURY,No Information,NOT DISTRACTED,25,OTHER,No Information,NO IMPROPER ACTIONS,INSIDE BUILDING,No Information,No Information,No
MCP2917009F,220021066,Injury Crash,BICYCLIST,No Information,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,SHOULDER,UNKNOWN,HEAD LIGHT AND REFLECTORS,No
MCP3039005Y,220019946,Injury Crash,PEDESTRIAN,NONE DETECTED,No Information,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,REFLECTIVE MATERIAL,No
MCP3176001R,220023174,Injury Crash,PEDESTRIAN,NONE DETECTED,ALCOHOL PRESENT,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,45,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP2846007Z,220021835,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
MCP2846007Z,220021835,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
MCP2846007Z,220021835,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
MCP3010006Q,220022836,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,OTHER,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,OTHER,No
MCP2877009S,220022976,Property Damage Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,20,BICYCLIST,Walking/Riding w/Traffic,OTHER,ON ROADWAY NOT AT CROSSWALK,OTHER,LIGHT CLOTHING,Yes
EJ7888002C,220023231,Injury Crash,BICYCLIST,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,No Information,DARK CLOTHING,No
MCP2799006Q,220021731,Property Damage Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,15,PEDESTRIAN,Walking/Riding w/Traffic,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP913000CK,220023618,Injury Crash,OTHER,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,OTHER,Other Working,IMPROPER TURN MERGE,OUTSIDE RIGHT OF WAY,OTHER,REFLECTIVE MATERIAL,Yes
MCP2683005V,220022703,Property Damage Crash,BICYCLIST,NONE DETECTED,No Information,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No
MCP2934004M,220022524,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No
MCP32390028,220027483,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,20,PEDESTRIAN,Cross/Enter not at Intersection,INATTENTIVE,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,UNKNOWN,No
MCP24200048,220028240,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,40,BICYCLIST,Cross/Enter not at Intersection,No Information,ON ROADWAY NOT AT CROSSWALK,DISOBEYED PED. SIGNAL,OTHER,Yes
MCP3255003R,220028180,Injury Crash,PEDESTRIAN,No Information,No Information,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,MEDIAN,No Information,DARK CLOTHING,Yes
MCP31900041,220028253,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP3129004L,220028006,Property Damage Crash,OTHER,NONE DETECTED,No Information,Yes,NO APPARENT INJURY,No Information,INATTENTIVE OR LOST IN THOUGHT,5,OTHER,Other,No Information,OTHER,No Information,No Information,No
MCP3086006V,220026096,Injury Crash,OTHER CONVEYANCE,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,OTHER CELLULAR PHONE RELATED,25,OTHER CONVEYANCE,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No
EJ785600BB,220028616,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,UNKNOWN,30,PEDESTRIAN,Standing,DISABLED VEHICLE RELATED,OTHER,No Information,MIXED CLOTHING,Yes
EJ78930016,220028119,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,5,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,No Information,MIXED CLOTHING,No
MCP32800029,220028685,Injury Crash,"BICYCLIST, OTHER",NONE DETECTED,"N/A, NONE DETECTED",No,NO APPARENT INJURY,No Information,NOT DISTRACTED,40,BICYCLIST,Cross/Enter at Intersection,FAILURE TO YIELD RIGHT OF WAY,OUTSIDE RIGHT OF WAY,OTHER,MIXED CLOTHING,Yes
MCP32800029,220028685,Injury Crash,"BICYCLIST, OTHER",NONE DETECTED,"N/A, NONE DETECTED",No,NO APPARENT INJURY,No Information,NOT DISTRACTED,40,OTHER,No Information,No Information,No Information,No Information,No Information,No
MCP2298010D,220028163,Injury Crash,OTHER PEDALCYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,OTHER PEDALCYCLIST,Playing,No Information,OTHER,No Information,LIGHT CLOTHING,No
MCP15500039,220024539,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,20,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No
MCP3124005N,220022996,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Unknown,NO APPARENT INJURY,No Information,UNKNOWN,25,PEDESTRIAN,Other,No Information,OTHER,No Information,No Information,Unknown
DD5648000S,220024140,Injury Crash,PEDESTRIAN,UNKNOWN,ALCOHOL PRESENT,Yes,NO APPARENT INJURY,No Information,UNKNOWN,5,PEDESTRIAN,Getting off/on Vehicle,UNKNOWN,OTHER,UNKNOWN,UNKNOWN,No
